Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.35 ± 0.10,1.69 ± 0.11,0.95 ± 0.09,0.68 ± 0.08,1.11 ± 0.09,0.71 ± 0.08
Concrete,Criterion 1.1,0.96 ± 0.11,1.36 ± 0.15,0.66 ± 0.11,0.47 ± 0.12,0.92 ± 0.12,0.50 ± 0.12
Concrete,Criterion 1.2,1.21 ± 0.15,1.55 ± 0.18,0.82 ± 0.14,0.55 ± 0.13,0.98 ± 0.13,0.57 ± 0.14
Concrete,Criterion 2,0.57 ± 0.03,0.66 ± 0.03,0.55 ± 0.03,0.52 ± 0.03,0.61 ± 0.04,0.54 ± 0.03
Composite,Baseline,1.04 ± 0.05,1.44 ± 0.07,1.13 ± 0.06,1.13 ± 0.06,1.44 ± 0.06,1.18 ± 0.06
Composite,Criterion 1.1,0.97 ± 0.10,1.36 ± 0.12,1.06 ± 0.11,1.07 ± 0.11,1.38 ± 0.12,1.12 ± 0.11
Composite,Criterion 1.2,0.99 ± 0.09,1.40 ± 0.14,1.07 ± 0.10,1.08 ± 0.12,1.38 ± 0.14,1.13 ± 0.11
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.02 ± 0.05,1.03 ± 0.05,1.03 ± 0.06
Steel,Baseline,2.84 ± 0.89,3.06 ± 0.84,2.29 ± 0.83,2.16 ± 0.85,2.73 ± 0.88,2.17 ± 0.83
Steel,Criterion 1.1,0.70 ± 0.25,0.87 ± 0.44,0.36 ± 0.25,0.35 ± 0.25,0.94 ± 0.30,0.45 ± 0.27
Steel,Criterion 1.2,1.11 ± 0.48,1.28 ± 0.53,0.67 ± 0.40,0.61 ± 0.42,1.13 ± 0.40,0.64 ± 0.40
Steel,Criterion 2,0.71 ± 0.08,0.76 ± 0.09,0.62 ± 0.09,0.58 ± 0.09,0.70 ± 0.09,0.58 ± 0.08
Energy,Baseline,1.10 ± 0.05,1.48 ± 0.07,0.39 ± 0.06,0.26 ± 0.06,0.45 ± 0.07,0.22 ± 0.07
Energy,Criterion 1.1,0.98 ± 0.10,1.35 ± 0.16,0.34 ± 0.10,0.22 ± 0.07,0.41 ± 0.12,0.21 ± 0.08
Energy,Criterion 1.2,1.06 ± 0.09,1.42 ± 0.14,0.35 ± 0.09,0.22 ± 0.05,0.40 ± 0.11,0.20 ± 0.05
Energy,Criterion 2,0.31 ± 0.02,0.41 ± 0.04,0.25 ± 0.02,0.25 ± 0.02,0.27 ± 0.02,25.12 ± 245.08
Student,Baseline,1.40 ± 0.10,1.75 ± 0.11,1.38 ± 0.10,1.34 ± 0.09,1.57 ± 0.09,1.38 ± 0.09
Student,Criterion 1.1,0.93 ± 0.62,1.12 ± 0.87,0.94 ± 0.64,0.89 ± 0.56,1.12 ± 0.63,0.95 ± 0.60
Student,Criterion 1.2,0.79 ± 0.37,1.05 ± 0.54,0.82 ± 0.42,0.82 ± 0.39,1.22 ± 0.51,0.90 ± 0.45
Student,Criterion 2,0.92 ± 0.10,0.94 ± 0.10,0.92 ± 0.10,0.92 ± 0.10,0.93 ± 0.10,0.92 ± 0.10
Wine,Baseline,1.28 ± 0.05,1.63 ± 0.05,1.01 ± 0.06,0.87 ± 0.07,1.22 ± 0.06,0.88 ± 0.06
Wine,Criterion 1.1,0.96 ± 0.07,1.35 ± 0.09,0.74 ± 0.06,0.65 ± 0.06,0.99 ± 0.06,0.66 ± 0.06
Wine,Criterion 1.2,1.14 ± 0.10,1.50 ± 0.11,0.88 ± 0.08,0.76 ± 0.07,1.10 ± 0.08,0.76 ± 0.07
Wine,Criterion 2,0.84 ± 0.02,0.86 ± 0.03,0.82 ± 0.02,0.81 ± 0.02,0.83 ± 0.03,0.81 ± 0.02
