Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.58 ± 0.09,1.90 ± 0.10,1.38 ± 0.10,1.01 ± 0.09,1.42 ± 0.10,1.04 ± 0.09
Concrete,Criterion 1.1,0.96 ± 0.13,1.32 ± 0.18,0.79 ± 0.16,0.59 ± 0.17,1.02 ± 0.17,0.66 ± 0.18
Concrete,Criterion 1.2,1.19 ± 0.15,1.52 ± 0.19,1.01 ± 0.15,0.66 ± 0.19,1.05 ± 0.17,0.69 ± 0.18
Concrete,Criterion 2,0.62 ± 0.04,0.75 ± 0.04,0.62 ± 0.04,0.58 ± 0.04,0.68 ± 0.04,0.60 ± 0.04
Composite,Baseline,1.08 ± 0.04,1.47 ± 0.05,1.16 ± 0.05,1.19 ± 0.05,1.46 ± 0.05,1.24 ± 0.05
Composite,Criterion 1.1,0.95 ± 0.12,1.34 ± 0.17,1.03 ± 0.12,1.06 ± 0.14,1.31 ± 0.17,1.12 ± 0.14
Composite,Criterion 1.2,0.97 ± 0.13,1.40 ± 0.19,1.05 ± 0.14,1.09 ± 0.14,1.35 ± 0.18,1.13 ± 0.15
Composite,Criterion 2,1.02 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.02 ± 0.05,1.03 ± 0.05,1.02 ± 0.05
Steel,Baseline,3.54 ± 1.07,3.74 ± 1.06,3.14 ± 1.07,2.99 ± 1.07,3.41 ± 1.06,2.97 ± 1.07
Steel,Criterion 1.1,0.65 ± 0.34,0.82 ± 0.51,0.39 ± 0.30,0.39 ± 0.32,0.89 ± 0.31,0.47 ± 0.30
Steel,Criterion 1.2,0.72 ± 0.38,0.82 ± 0.44,0.44 ± 0.34,0.40 ± 0.32,0.91 ± 0.36,0.47 ± 0.28
Steel,Criterion 2,0.76 ± 0.09,0.83 ± 0.09,0.71 ± 0.10,0.68 ± 0.09,0.79 ± 0.11,0.67 ± 0.10
Energy,Baseline,1.18 ± 0.04,1.55 ± 0.07,0.61 ± 0.05,0.32 ± 0.07,0.53 ± 0.06,0.33 ± 0.09
Energy,Criterion 1.1,0.96 ± 0.12,1.28 ± 0.22,0.43 ± 0.12,0.26 ± 0.12,0.43 ± 0.16,0.23 ± 0.11
Energy,Criterion 1.2,1.07 ± 0.14,1.38 ± 0.22,0.52 ± 0.16,0.25 ± 0.09,0.45 ± 0.12,0.25 ± 0.12
Energy,Criterion 2,0.35 ± 0.02,0.51 ± 0.04,0.30 ± 0.02,0.27 ± 0.02,0.32 ± 0.03,0.26 ± 0.02
Student,Baseline,1.69 ± 0.10,2.01 ± 0.11,1.69 ± 0.10,1.65 ± 0.10,1.90 ± 0.10,1.69 ± 0.10
Student,Criterion 1.1,0.65 ± 0.38,0.77 ± 0.77,0.66 ± 0.40,0.22 ± 0.19,0.89 ± 0.15,0.32 ± 0.22
Student,Criterion 1.2,0.64 ± 0.39,0.58 ± 0.30,0.47 ± 0.23,0.40 ± 0.10,0.76 ± 0.31,0.74 ± 0.45
Student,Criterion 2,0.95 ± 0.10,0.98 ± 0.10,0.96 ± 0.10,0.95 ± 0.10,0.97 ± 0.10,0.96 ± 0.10
Wine,Baseline,1.37 ± 0.05,1.71 ± 0.05,1.20 ± 0.06,1.04 ± 0.07,1.34 ± 0.06,1.06 ± 0.07
Wine,Criterion 1.1,0.95 ± 0.09,1.33 ± 0.11,0.85 ± 0.08,0.70 ± 0.09,1.04 ± 0.09,0.73 ± 0.10
Wine,Criterion 1.2,1.11 ± 0.11,1.48 ± 0.13,0.97 ± 0.12,0.82 ± 0.12,1.14 ± 0.12,0.83 ± 0.12
Wine,Criterion 2,0.86 ± 0.03,0.90 ± 0.03,0.85 ± 0.03,0.83 ± 0.02,0.86 ± 0.03,0.83 ± 0.02
