Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.27 ± 0.10,1.62 ± 0.11,0.79 ± 0.09,0.56 ± 0.09,0.97 ± 0.09,0.58 ± 0.09
Concrete,Criterion 1.1,0.95 ± 0.10,1.35 ± 0.16,0.57 ± 0.10,0.40 ± 0.09,0.81 ± 0.12,0.42 ± 0.10
Concrete,Criterion 1.2,1.18 ± 0.15,1.54 ± 0.18,0.72 ± 0.12,0.50 ± 0.12,0.92 ± 0.13,0.52 ± 0.13
Concrete,Criterion 2,0.54 ± 0.03,0.61 ± 0.03,0.51 ± 0.03,0.50 ± 0.03,0.56 ± 0.04,0.51 ± 0.03
Composite,Baseline,1.03 ± 0.06,1.43 ± 0.08,1.11 ± 0.07,1.11 ± 0.06,1.43 ± 0.09,1.16 ± 0.07
Composite,Criterion 1.1,0.96 ± 0.08,1.35 ± 0.12,1.05 ± 0.09,1.05 ± 0.08,1.36 ± 0.10,1.10 ± 0.09
Composite,Criterion 1.2,0.98 ± 0.09,1.38 ± 0.12,1.07 ± 0.10,1.06 ± 0.09,1.38 ± 0.11,1.11 ± 0.10
Composite,Criterion 2,1.02 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.06,1.03 ± 0.05
Steel,Baseline,2.07 ± 0.65,2.34 ± 0.65,1.53 ± 0.65,1.42 ± 0.64,1.99 ± 0.62,1.42 ± 0.64
Steel,Criterion 1.1,0.69 ± 0.19,0.94 ± 0.29,0.36 ± 0.18,0.34 ± 0.21,0.90 ± 0.26,0.38 ± 0.20
Steel,Criterion 1.2,1.26 ± 0.50,1.46 ± 0.55,0.76 ± 0.45,0.70 ± 0.46,1.27 ± 0.45,0.73 ± 0.45
Steel,Criterion 2,0.67 ± 0.09,0.71 ± 0.09,0.57 ± 0.09,0.54 ± 0.08,0.65 ± 0.09,0.54 ± 0.08
Energy,Baseline,1.07 ± 0.05,1.46 ± 0.09,0.31 ± 0.06,0.22 ± 0.04,0.40 ± 0.06,0.20 ± 0.05
Energy,Criterion 1.1,0.99 ± 0.08,1.38 ± 0.16,0.28 ± 0.08,0.21 ± 0.06,0.38 ± 0.11,0.19 ± 0.06
Energy,Criterion 1.2,1.03 ± 0.10,1.40 ± 0.15,0.26 ± 0.07,0.20 ± 0.05,0.37 ± 0.09,0.19 ± 0.05
Energy,Criterion 2,0.28 ± 0.02,0.36 ± 0.03,0.23 ± 0.02,0.23 ± 0.02,0.25 ± 0.02,107.48 ± 812.58
Student,Baseline,1.30 ± 0.10,1.65 ± 0.12,1.27 ± 0.10,1.22 ± 0.10,1.50 ± 0.10,1.26 ± 0.10
Student,Criterion 1.1,0.82 ± 0.26,0.96 ± 0.46,0.79 ± 0.29,0.78 ± 0.31,1.04 ± 0.37,0.82 ± 0.30
Student,Criterion 1.2,0.85 ± 0.35,1.10 ± 0.40,0.83 ± 0.36,0.89 ± 0.34,1.14 ± 0.39,0.90 ± 0.34
Student,Criterion 2,0.90 ± 0.10,0.92 ± 0.10,0.91 ± 0.09,0.90 ± 0.09,0.91 ± 0.10,0.90 ± 0.09
Wine,Baseline,1.24 ± 0.06,1.60 ± 0.06,0.93 ± 0.06,0.80 ± 0.07,1.15 ± 0.06,0.81 ± 0.07
Wine,Criterion 1.1,0.96 ± 0.06,1.37 ± 0.08,0.71 ± 0.05,0.61 ± 0.06,0.96 ± 0.06,0.61 ± 0.05
Wine,Criterion 1.2,1.16 ± 0.09,1.53 ± 0.10,0.84 ± 0.09,0.71 ± 0.08,1.07 ± 0.07,0.72 ± 0.08
Wine,Criterion 2,0.82 ± 0.02,0.84 ± 0.02,0.81 ± 0.02,0.80 ± 0.02,0.82 ± 0.02,0.80 ± 0.02
