Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,0.99 ± 0.06,1.40 ± 0.08,0.80 ± 0.07,0.64 ± 0.07,1.03 ± 0.07,0.69 ± 0.09
Concrete,Criterion 1.1,0.98 ± 0.08,1.38 ± 0.10,0.70 ± 0.07,0.50 ± 0.08,0.91 ± 0.08,0.53 ± 0.09
Concrete,Criterion 1.2,0.98 ± 0.09,1.39 ± 0.12,0.80 ± 0.11,0.62 ± 0.10,1.01 ± 0.11,0.68 ± 0.13
Concrete,Criterion 2,0.58 ± 0.03,0.66 ± 0.04,0.58 ± 0.03,0.55 ± 0.04,0.63 ± 0.04,0.56 ± 0.04
Composite,Baseline,0.99 ± 0.04,1.40 ± 0.07,1.08 ± 0.05,1.08 ± 0.05,1.41 ± 0.06,1.14 ± 0.06
Composite,Criterion 1.1,0.98 ± 0.06,1.37 ± 0.08,1.07 ± 0.07,1.08 ± 0.07,1.40 ± 0.08,1.13 ± 0.07
Composite,Criterion 1.2,0.98 ± 0.06,1.40 ± 0.09,1.07 ± 0.07,1.06 ± 0.06,1.39 ± 0.08,1.13 ± 0.08
Composite,Criterion 2,1.04 ± 0.05,1.04 ± 0.05,1.04 ± 0.05,1.04 ± 0.06,1.04 ± 0.05,1.04 ± 0.05
Steel,Baseline,0.92 ± 0.21,1.35 ± 0.31,0.67 ± 0.21,0.62 ± 0.23,1.13 ± 0.20,0.69 ± 0.22
Steel,Criterion 1.1,0.78 ± 0.20,1.09 ± 0.31,0.48 ± 0.18,0.43 ± 0.17,0.99 ± 0.20,0.51 ± 0.18
Steel,Criterion 1.2,0.83 ± 0.22,1.13 ± 0.31,0.56 ± 0.23,0.51 ± 0.22,1.05 ± 0.23,0.61 ± 0.21
Steel,Criterion 2,0.64 ± 0.09,0.69 ± 0.09,0.59 ± 0.09,0.56 ± 0.08,0.65 ± 0.09,0.58 ± 0.08
Energy,Baseline,0.99 ± 0.04,1.40 ± 0.08,0.38 ± 0.08,0.29 ± 0.10,0.47 ± 0.07,0.28 ± 0.12
Energy,Criterion 1.1,0.99 ± 0.06,1.39 ± 0.11,0.38 ± 0.07,0.24 ± 0.06,0.42 ± 0.08,0.21 ± 0.06
Energy,Criterion 1.2,1.00 ± 0.05,1.39 ± 0.11,0.38 ± 0.10,0.24 ± 0.07,0.47 ± 0.12,0.21 ± 0.08
Energy,Criterion 2,0.31 ± 0.02,0.43 ± 0.04,0.25 ± 0.02,0.26 ± 0.02,0.29 ± 0.03,152.02 ± 1163.02
Student,Baseline,0.99 ± 0.06,1.39 ± 0.08,1.01 ± 0.06,0.99 ± 0.06,1.29 ± 0.07,1.06 ± 0.07
Student,Criterion 1.1,0.86 ± 0.19,1.17 ± 0.25,0.85 ± 0.19,0.83 ± 0.16,1.11 ± 0.26,0.90 ± 0.17
Student,Criterion 1.2,0.87 ± 0.15,1.15 ± 0.23,0.87 ± 0.17,0.83 ± 0.14,1.09 ± 0.22,0.89 ± 0.16
Student,Criterion 2,0.90 ± 0.10,0.92 ± 0.10,0.90 ± 0.09,0.90 ± 0.10,0.92 ± 0.09,0.90 ± 0.09
Wine,Baseline,0.99 ± 0.04,1.41 ± 0.05,0.92 ± 0.05,0.74 ± 0.06,1.10 ± 0.05,0.76 ± 0.06
Wine,Criterion 1.1,0.99 ± 0.05,1.40 ± 0.06,0.81 ± 0.05,0.66 ± 0.05,1.03 ± 0.05,0.67 ± 0.05
Wine,Criterion 1.2,0.99 ± 0.06,1.39 ± 0.06,0.92 ± 0.05,0.75 ± 0.06,1.10 ± 0.06,0.77 ± 0.07
Wine,Criterion 2,0.83 ± 0.02,0.86 ± 0.02,0.82 ± 0.02,0.81 ± 0.02,0.84 ± 0.02,0.81 ± 0.02
