Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.24 ± 0.07,1.61 ± 0.07,1.16 ± 0.09,0.90 ± 0.08,1.27 ± 0.07,0.93 ± 0.08
Concrete,Criterion 1.1,1.01 ± 0.09,1.41 ± 0.12,0.88 ± 0.09,0.70 ± 0.12,1.11 ± 0.11,0.74 ± 0.12
Concrete,Criterion 1.2,1.14 ± 0.10,1.49 ± 0.13,1.08 ± 0.10,0.79 ± 0.12,1.20 ± 0.12,0.85 ± 0.12
Concrete,Criterion 2,0.68 ± 0.04,0.79 ± 0.05,0.69 ± 0.04,0.66 ± 0.05,0.76 ± 0.05,0.68 ± 0.05
Composite,Baseline,1.04 ± 0.04,1.44 ± 0.06,1.13 ± 0.04,1.16 ± 0.04,1.44 ± 0.04,1.21 ± 0.04
Composite,Criterion 1.1,0.99 ± 0.06,1.39 ± 0.10,1.09 ± 0.07,1.11 ± 0.08,1.41 ± 0.09,1.16 ± 0.08
Composite,Criterion 1.2,0.99 ± 0.07,1.41 ± 0.11,1.08 ± 0.07,1.11 ± 0.08,1.39 ± 0.10,1.16 ± 0.08
Composite,Criterion 2,1.04 ± 0.06,1.04 ± 0.05,1.04 ± 0.06,1.04 ± 0.06,1.04 ± 0.06,1.04 ± 0.06
Steel,Baseline,1.80 ± 0.32,2.13 ± 0.34,1.66 ± 0.33,1.52 ± 0.35,1.96 ± 0.32,1.55 ± 0.34
Steel,Criterion 1.1,0.80 ± 0.29,1.03 ± 0.43,0.57 ± 0.26,0.48 ± 0.29,1.01 ± 0.29,0.59 ± 0.30
Steel,Criterion 1.2,0.94 ± 0.29,1.18 ± 0.50,0.73 ± 0.28,0.56 ± 0.25,1.06 ± 0.24,0.64 ± 0.25
Steel,Criterion 2,0.74 ± 0.11,0.84 ± 0.11,0.69 ± 0.10,0.66 ± 0.12,0.78 ± 0.11,0.66 ± 0.11
Energy,Baseline,1.18 ± 0.04,1.54 ± 0.06,0.61 ± 0.13,0.42 ± 0.11,0.61 ± 0.08,0.42 ± 0.12
Energy,Criterion 1.1,1.01 ± 0.08,1.40 ± 0.14,0.55 ± 0.10,0.33 ± 0.12,0.57 ± 0.13,0.34 ± 0.14
Energy,Criterion 1.2,1.13 ± 0.08,1.49 ± 0.12,0.57 ± 0.15,0.35 ± 0.13,0.57 ± 0.11,0.39 ± 0.20
Energy,Criterion 2,0.37 ± 0.03,0.58 ± 0.04,0.32 ± 0.04,0.31 ± 0.04,0.37 ± 0.05,0.30 ± 0.04
Student,Baseline,1.46 ± 0.10,1.81 ± 0.11,1.50 ± 0.10,1.48 ± 0.10,1.73 ± 0.11,1.54 ± 0.10
Student,Criterion 1.1,0.83 ± 0.30,1.11 ± 0.54,0.79 ± 0.38,0.84 ± 0.35,1.02 ± 0.44,0.93 ± 0.46
Student,Criterion 1.2,0.75 ± 0.35,1.03 ± 0.41,0.74 ± 0.42,0.74 ± 0.36,1.02 ± 0.46,0.81 ± 0.33
Student,Criterion 2,0.96 ± 0.10,0.98 ± 0.09,0.96 ± 0.10,0.96 ± 0.10,0.97 ± 0.10,0.96 ± 0.09
Wine,Baseline,1.29 ± 0.04,1.65 ± 0.04,1.26 ± 0.05,1.10 ± 0.06,1.38 ± 0.05,1.12 ± 0.06
Wine,Criterion 1.1,0.96 ± 0.04,1.35 ± 0.06,0.93 ± 0.05,0.76 ± 0.05,1.08 ± 0.05,0.79 ± 0.05
Wine,Criterion 1.2,1.04 ± 0.05,1.43 ± 0.07,1.05 ± 0.06,0.89 ± 0.07,1.18 ± 0.06,0.92 ± 0.08
Wine,Criterion 2,0.86 ± 0.03,0.91 ± 0.02,0.86 ± 0.03,0.85 ± 0.03,0.88 ± 0.03,0.85 ± 0.03
