Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,0.99 ± 0.07,1.39 ± 0.09,0.66 ± 0.06,0.50 ± 0.07,0.92 ± 0.06,0.53 ± 0.06
Concrete,Criterion 1.1,0.96 ± 0.11,1.34 ± 0.16,0.63 ± 0.10,0.47 ± 0.12,0.89 ± 0.12,0.48 ± 0.12
Concrete,Criterion 1.2,0.95 ± 0.10,1.33 ± 0.15,0.62 ± 0.10,0.46 ± 0.11,0.89 ± 0.12,0.48 ± 0.12
Concrete,Criterion 2,0.59 ± 0.04,0.67 ± 0.04,0.56 ± 0.03,0.54 ± 0.03,0.63 ± 0.03,0.56 ± 0.03
Composite,Baseline,1.00 ± 0.05,1.41 ± 0.06,1.09 ± 0.05,1.09 ± 0.05,1.42 ± 0.07,1.14 ± 0.05
Composite,Criterion 1.1,0.98 ± 0.08,1.37 ± 0.13,1.07 ± 0.09,1.08 ± 0.10,1.37 ± 0.14,1.13 ± 0.10
Composite,Criterion 1.2,0.97 ± 0.09,1.36 ± 0.12,1.05 ± 0.10,1.06 ± 0.09,1.35 ± 0.12,1.11 ± 0.10
Composite,Criterion 2,1.02 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.02 ± 0.05,1.03 ± 0.06,1.03 ± 0.06
Steel,Baseline,0.87 ± 0.17,1.28 ± 0.25,0.57 ± 0.16,0.53 ± 0.17,1.09 ± 0.16,0.58 ± 0.16
Steel,Criterion 1.1,0.69 ± 0.27,0.88 ± 0.37,0.38 ± 0.24,0.37 ± 0.28,0.93 ± 0.28,0.44 ± 0.28
Steel,Criterion 1.2,0.63 ± 0.18,0.84 ± 0.36,0.34 ± 0.19,0.32 ± 0.17,0.84 ± 0.21,0.40 ± 0.16
Steel,Criterion 2,0.65 ± 0.08,0.72 ± 0.09,0.57 ± 0.08,0.55 ± 0.08,0.66 ± 0.07,0.56 ± 0.07
Energy,Baseline,1.00 ± 0.04,1.41 ± 0.08,0.37 ± 0.05,0.26 ± 0.06,0.44 ± 0.07,0.23 ± 0.06
Energy,Criterion 1.1,0.98 ± 0.08,1.37 ± 0.17,0.34 ± 0.08,0.22 ± 0.05,0.41 ± 0.11,0.21 ± 0.07
Energy,Criterion 1.2,0.98 ± 0.08,1.33 ± 0.19,0.35 ± 0.10,0.21 ± 0.06,0.39 ± 0.12,0.19 ± 0.07
Energy,Criterion 2,0.31 ± 0.02,0.41 ± 0.04,0.25 ± 0.02,0.25 ± 0.02,0.27 ± 0.02,188.84 ± 1036.65
Student,Baseline,0.99 ± 0.06,1.39 ± 0.08,1.01 ± 0.07,0.99 ± 0.07,1.28 ± 0.07,1.05 ± 0.06
Student,Criterion 1.1,0.80 ± 0.38,1.24 ± 0.72,0.73 ± 0.36,0.74 ± 0.42,1.00 ± 0.45,0.79 ± 0.45
Student,Criterion 1.2,0.67 ± 0.31,1.01 ± 0.60,0.65 ± 0.32,0.69 ± 0.40,0.83 ± 0.45,0.73 ± 0.42
Student,Criterion 2,0.90 ± 0.10,0.92 ± 0.10,0.90 ± 0.09,0.90 ± 0.09,0.92 ± 0.09,0.90 ± 0.09
Wine,Baseline,0.99 ± 0.04,1.41 ± 0.05,0.77 ± 0.04,0.66 ± 0.04,1.03 ± 0.04,0.68 ± 0.04
Wine,Criterion 1.1,0.97 ± 0.08,1.37 ± 0.09,0.75 ± 0.07,0.65 ± 0.07,1.00 ± 0.08,0.66 ± 0.08
Wine,Criterion 1.2,0.95 ± 0.06,1.37 ± 0.09,0.73 ± 0.06,0.63 ± 0.06,1.01 ± 0.06,0.64 ± 0.06
Wine,Criterion 2,0.83 ± 0.02,0.86 ± 0.03,0.82 ± 0.02,0.81 ± 0.02,0.84 ± 0.02,0.81 ± 0.02
