Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.06 ± 0.13,1.46 ± 0.12,0.98 ± 0.14,0.82 ± 0.13,1.21 ± 0.13,0.88 ± 0.14
Concrete,Criterion 1.1,0.97 ± 0.09,1.33 ± 0.13,0.86 ± 0.10,0.67 ± 0.11,1.06 ± 0.10,0.71 ± 0.11
Concrete,Criterion 1.2,0.96 ± 0.09,1.34 ± 0.14,0.88 ± 0.11,0.74 ± 0.13,1.11 ± 0.11,0.80 ± 0.13
Concrete,Criterion 2,0.67 ± 0.04,0.77 ± 0.04,0.67 ± 0.04,0.65 ± 0.04,0.74 ± 0.05,0.67 ± 0.04
Composite,Baseline,1.00 ± 0.03,1.41 ± 0.05,1.10 ± 0.03,1.13 ± 0.04,1.42 ± 0.05,1.17 ± 0.04
Composite,Criterion 1.1,0.99 ± 0.07,1.39 ± 0.09,1.10 ± 0.08,1.12 ± 0.07,1.40 ± 0.10,1.15 ± 0.09
Composite,Criterion 1.2,0.98 ± 0.07,1.38 ± 0.10,1.08 ± 0.07,1.11 ± 0.07,1.38 ± 0.10,1.15 ± 0.08
Composite,Criterion 2,1.03 ± 0.06,1.03 ± 0.06,1.04 ± 0.06,1.03 ± 0.05,1.03 ± 0.06,1.03 ± 0.05
Steel,Baseline,1.10 ± 0.34,1.55 ± 0.34,0.99 ± 0.33,0.88 ± 0.35,1.41 ± 0.32,0.96 ± 0.33
Steel,Criterion 1.1,0.73 ± 0.21,0.87 ± 0.28,0.54 ± 0.22,0.43 ± 0.19,0.98 ± 0.21,0.53 ± 0.18
Steel,Criterion 1.2,0.73 ± 0.22,0.93 ± 0.34,0.58 ± 0.26,0.45 ± 0.23,1.01 ± 0.23,0.57 ± 0.23
Steel,Criterion 2,0.70 ± 0.09,0.80 ± 0.08,0.67 ± 0.08,0.64 ± 0.09,0.77 ± 0.09,0.65 ± 0.08
Energy,Baseline,1.05 ± 0.06,1.46 ± 0.07,0.55 ± 0.09,0.43 ± 0.10,0.64 ± 0.09,0.44 ± 0.13
Energy,Criterion 1.1,1.00 ± 0.07,1.35 ± 0.13,0.55 ± 0.10,0.35 ± 0.13,0.54 ± 0.13,0.41 ± 0.18
Energy,Criterion 1.2,1.04 ± 0.07,1.40 ± 0.13,0.50 ± 0.13,0.37 ± 0.17,0.60 ± 0.14,0.38 ± 0.19
Energy,Criterion 2,0.38 ± 0.03,0.58 ± 0.05,0.31 ± 0.03,0.32 ± 0.04,0.39 ± 0.05,0.31 ± 0.04
Student,Baseline,1.02 ± 0.06,1.44 ± 0.07,1.08 ± 0.06,1.05 ± 0.06,1.35 ± 0.06,1.14 ± 0.06
Student,Criterion 1.1,0.70 ± 0.29,0.95 ± 0.45,0.74 ± 0.31,0.69 ± 0.30,0.91 ± 0.34,0.72 ± 0.32
Student,Criterion 1.2,0.76 ± 0.25,0.93 ± 0.44,0.76 ± 0.29,0.63 ± 0.25,0.99 ± 0.37,0.76 ± 0.32
Student,Criterion 2,0.94 ± 0.11,0.98 ± 0.11,0.95 ± 0.11,0.94 ± 0.10,0.97 ± 0.10,0.95 ± 0.10
Wine,Baseline,1.02 ± 0.04,1.43 ± 0.04,1.03 ± 0.05,0.88 ± 0.06,1.18 ± 0.05,0.90 ± 0.06
Wine,Criterion 1.1,0.95 ± 0.05,1.33 ± 0.06,0.93 ± 0.05,0.75 ± 0.05,1.08 ± 0.05,0.78 ± 0.06
Wine,Criterion 1.2,0.95 ± 0.05,1.34 ± 0.06,0.98 ± 0.06,0.82 ± 0.07,1.12 ± 0.05,0.84 ± 0.07
Wine,Criterion 2,0.87 ± 0.02,0.91 ± 0.03,0.87 ± 0.02,0.85 ± 0.02,0.89 ± 0.03,0.85 ± 0.03
