Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.04 ± 0.11,1.43 ± 0.13,0.70 ± 0.12,0.51 ± 0.11,0.95 ± 0.10,0.55 ± 0.11
Concrete,Criterion 1.1,0.97 ± 0.09,1.34 ± 0.15,0.54 ± 0.09,0.35 ± 0.10,0.73 ± 0.10,0.36 ± 0.09
Concrete,Criterion 1.2,1.05 ± 0.13,1.44 ± 0.17,0.70 ± 0.13,0.51 ± 0.14,0.92 ± 0.12,0.52 ± 0.13
Concrete,Criterion 2,0.50 ± 0.03,0.54 ± 0.03,0.49 ± 0.03,0.48 ± 0.03,0.53 ± 0.04,0.49 ± 0.03
Composite,Baseline,0.99 ± 0.09,1.40 ± 0.12,1.08 ± 0.08,1.06 ± 0.09,1.39 ± 0.11,1.13 ± 0.10
Composite,Criterion 1.1,0.96 ± 0.09,1.36 ± 0.13,1.06 ± 0.10,1.04 ± 0.10,1.36 ± 0.12,1.09 ± 0.10
Composite,Criterion 1.2,0.97 ± 0.10,1.37 ± 0.13,1.06 ± 0.10,1.04 ± 0.11,1.35 ± 0.14,1.10 ± 0.10
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.02 ± 0.05
Steel,Baseline,1.02 ± 0.26,1.28 ± 0.30,0.59 ± 0.26,0.51 ± 0.25,1.15 ± 0.26,0.59 ± 0.25
Steel,Criterion 1.1,0.70 ± 0.17,1.00 ± 0.34,0.36 ± 0.16,0.31 ± 0.15,0.89 ± 0.20,0.36 ± 0.14
Steel,Criterion 1.2,0.92 ± 0.27,1.15 ± 0.32,0.52 ± 0.26,0.47 ± 0.25,1.05 ± 0.30,0.52 ± 0.24
Steel,Criterion 2,0.57 ± 0.08,0.59 ± 0.09,0.52 ± 0.08,0.51 ± 0.08,0.56 ± 0.08,0.52 ± 0.08
Energy,Baseline,1.04 ± 0.09,1.41 ± 0.13,0.24 ± 0.07,0.19 ± 0.04,0.36 ± 0.09,0.18 ± 0.04
Energy,Criterion 1.1,0.99 ± 0.09,1.36 ± 0.17,0.23 ± 0.06,0.19 ± 0.04,0.33 ± 0.08,0.18 ± 0.04
Energy,Criterion 1.2,1.02 ± 0.09,1.42 ± 0.16,0.23 ± 0.05,0.18 ± 0.04,0.36 ± 0.10,0.17 ± 0.04
Energy,Criterion 2,0.25 ± 0.02,0.31 ± 0.03,0.22 ± 0.02,0.22 ± 0.02,0.23 ± 0.02,0.23 ± 0.04
Student,Baseline,1.11 ± 0.12,1.46 ± 0.14,1.08 ± 0.12,1.06 ± 0.11,1.34 ± 0.13,1.10 ± 0.11
Student,Criterion 1.1,0.90 ± 0.14,1.23 ± 0.18,0.89 ± 0.15,0.87 ± 0.14,1.17 ± 0.16,0.92 ± 0.15
Student,Criterion 1.2,1.00 ± 0.16,1.33 ± 0.21,0.97 ± 0.17,0.94 ± 0.15,1.21 ± 0.18,0.99 ± 0.15
Student,Criterion 2,0.89 ± 0.10,0.89 ± 0.09,0.89 ± 0.10,0.89 ± 0.09,0.90 ± 0.10,0.89 ± 0.10
Wine,Baseline,1.13 ± 0.08,1.52 ± 0.08,0.89 ± 0.09,0.78 ± 0.11,1.15 ± 0.09,0.79 ± 0.11
Wine,Criterion 1.1,0.98 ± 0.07,1.38 ± 0.07,0.70 ± 0.07,0.58 ± 0.06,0.95 ± 0.06,0.58 ± 0.06
Wine,Criterion 1.2,1.10 ± 0.07,1.48 ± 0.08,0.87 ± 0.08,0.76 ± 0.09,1.12 ± 0.08,0.77 ± 0.10
Wine,Criterion 2,0.81 ± 0.02,0.82 ± 0.02,0.80 ± 0.02,0.80 ± 0.02,0.81 ± 0.02,0.80 ± 0.02
