Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.96 ± 0.10,1.36 ± 0.13,0.51 ± 0.08,0.35 ± 0.09,0.73 ± 0.08,0.37 ± 0.09
Composite,Numerical,0.98 ± 0.09,1.38 ± 0.13,1.07 ± 0.10,1.06 ± 0.10,1.40 ± 0.12,1.11 ± 0.10
Steel,Numerical,0.79 ± 0.27,1.09 ± 0.33,0.45 ± 0.29,0.41 ± 0.28,0.96 ± 0.29,0.46 ± 0.26
Energy,Numerical,1.00 ± 0.08,1.38 ± 0.15,0.23 ± 0.06,0.20 ± 0.05,0.35 ± 0.10,0.18 ± 0.05
Student,Numerical,0.96 ± 0.10,1.35 ± 0.14,0.96 ± 0.10,0.93 ± 0.10,1.21 ± 0.11,0.99 ± 0.10
Wine,Numerical,1.00 ± 0.06,1.40 ± 0.07,0.70 ± 0.06,0.58 ± 0.06,0.98 ± 0.07,0.58 ± 0.06
Energy,Categorical,0.81 ± 0.10,0.78 ± 0.11,0.78 ± 0.12,0.85 ± 0.08,0.81 ± 0.11,0.81 ± 0.10
Student,Categorical,0.32 ± 0.05,0.42 ± 0.05,0.34 ± 0.04,0.33 ± 0.04,0.45 ± 0.05,0.33 ± 0.04
