Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.05,1.41 ± 0.07,0.84 ± 0.05,0.69 ± 0.06,1.07 ± 0.06,0.73 ± 0.06
Composite,Numerical,1.00 ± 0.04,1.41 ± 0.06,1.09 ± 0.04,1.15 ± 0.04,1.41 ± 0.04,1.19 ± 0.04
Steel,Numerical,0.96 ± 0.20,1.42 ± 0.30,0.78 ± 0.19,0.72 ± 0.19,1.25 ± 0.19,0.81 ± 0.19
Energy,Numerical,1.00 ± 0.03,1.41 ± 0.06,0.57 ± 0.04,0.40 ± 0.07,0.57 ± 0.06,0.40 ± 0.09
Student,Numerical,1.00 ± 0.05,1.41 ± 0.07,1.04 ± 0.05,1.04 ± 0.05,1.32 ± 0.06,1.12 ± 0.06
Wine,Numerical,1.00 ± 0.03,1.41 ± 0.03,0.91 ± 0.03,0.79 ± 0.03,1.11 ± 0.03,0.82 ± 0.03
Energy,Categorical,0.80 ± 0.04,0.78 ± 0.04,0.80 ± 0.04,0.84 ± 0.04,0.80 ± 0.04,0.79 ± 0.04
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.44 ± 0.02,0.34 ± 0.02
