Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.08,1.40 ± 0.11,0.59 ± 0.07,0.45 ± 0.08,0.85 ± 0.08,0.48 ± 0.08
Composite,Numerical,0.98 ± 0.06,1.38 ± 0.08,1.07 ± 0.06,1.07 ± 0.06,1.42 ± 0.10,1.13 ± 0.06
Steel,Numerical,0.83 ± 0.21,1.22 ± 0.32,0.53 ± 0.21,0.46 ± 0.20,1.04 ± 0.22,0.55 ± 0.21
Energy,Numerical,1.00 ± 0.05,1.39 ± 0.09,0.31 ± 0.06,0.23 ± 0.06,0.41 ± 0.08,0.21 ± 0.06
Student,Numerical,0.97 ± 0.07,1.37 ± 0.09,0.98 ± 0.07,0.96 ± 0.07,1.26 ± 0.09,1.02 ± 0.07
Wine,Numerical,0.99 ± 0.05,1.40 ± 0.05,0.73 ± 0.05,0.62 ± 0.05,1.01 ± 0.05,0.63 ± 0.04
Energy,Categorical,0.81 ± 0.08,0.79 ± 0.07,0.80 ± 0.07,0.84 ± 0.07,0.79 ± 0.08,0.80 ± 0.07
Student,Categorical,0.32 ± 0.03,0.42 ± 0.02,0.34 ± 0.03,0.33 ± 0.03,0.44 ± 0.03,0.34 ± 0.03
