Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.29 ± 0.10,1.64 ± 0.11,0.81 ± 0.09,0.58 ± 0.09,0.98 ± 0.09,0.60 ± 0.09
Composite,Numerical,1.04 ± 0.06,1.44 ± 0.08,1.13 ± 0.06,1.12 ± 0.06,1.43 ± 0.08,1.17 ± 0.06
Steel,Numerical,2.22 ± 0.82,2.47 ± 0.88,1.68 ± 0.84,1.57 ± 0.85,2.17 ± 0.93,1.58 ± 0.83
Energy,Numerical,1.06 ± 0.06,1.45 ± 0.10,0.29 ± 0.05,0.22 ± 0.04,0.39 ± 0.06,0.21 ± 0.06
Student,Numerical,1.29 ± 0.10,1.64 ± 0.11,1.26 ± 0.10,1.21 ± 0.09,1.50 ± 0.12,1.26 ± 0.10
Wine,Numerical,1.24 ± 0.07,1.60 ± 0.06,0.93 ± 0.08,0.80 ± 0.08,1.15 ± 0.06,0.80 ± 0.08
Energy,Categorical,0.81 ± 0.11,0.79 ± 0.08,0.81 ± 0.09,0.83 ± 0.10,0.80 ± 0.08,0.81 ± 0.10
Student,Categorical,0.40 ± 0.06,0.48 ± 0.04,0.40 ± 0.05,0.41 ± 0.06,0.48 ± 0.04,0.41 ± 0.06
