Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.00 ± 0.10,1.40 ± 0.11,0.76 ± 0.13,0.59 ± 0.13,1.03 ± 0.10,0.65 ± 0.13
Composite,Numerical,1.00 ± 0.06,1.39 ± 0.08,1.09 ± 0.07,1.07 ± 0.06,1.41 ± 0.09,1.14 ± 0.07
Steel,Numerical,0.97 ± 0.36,1.33 ± 0.41,0.69 ± 0.38,0.64 ± 0.37,1.17 ± 0.33,0.71 ± 0.36
Energy,Numerical,1.00 ± 0.06,1.41 ± 0.10,0.33 ± 0.08,0.24 ± 0.07,0.44 ± 0.10,0.22 ± 0.11
Student,Numerical,0.99 ± 0.08,1.40 ± 0.11,1.00 ± 0.08,0.98 ± 0.08,1.28 ± 0.09,1.04 ± 0.08
Wine,Numerical,1.01 ± 0.06,1.42 ± 0.06,0.88 ± 0.06,0.72 ± 0.07,1.09 ± 0.07,0.74 ± 0.07
Energy,Categorical,0.81 ± 0.08,0.78 ± 0.07,0.80 ± 0.08,0.85 ± 0.07,0.79 ± 0.07,0.81 ± 0.08
Student,Categorical,0.31 ± 0.03,0.42 ± 0.03,0.33 ± 0.03,0.32 ± 0.03,0.48 ± 0.04,0.33 ± 0.03
