Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.14 ± 0.06,1.52 ± 0.08,1.04 ± 0.10,0.74 ± 0.08,1.12 ± 0.07,0.79 ± 0.07
Composite,Numerical,1.03 ± 0.04,1.42 ± 0.06,1.11 ± 0.05,1.12 ± 0.05,1.42 ± 0.05,1.17 ± 0.05
Steel,Numerical,1.58 ± 0.31,1.93 ± 0.41,1.34 ± 0.33,1.22 ± 0.34,1.72 ± 0.31,1.25 ± 0.33
Energy,Numerical,1.11 ± 0.05,1.48 ± 0.07,0.50 ± 0.11,0.31 ± 0.09,0.52 ± 0.08,0.31 ± 0.12
Student,Numerical,1.34 ± 0.09,1.71 ± 0.11,1.35 ± 0.10,1.33 ± 0.09,1.59 ± 0.09,1.39 ± 0.10
Wine,Numerical,1.22 ± 0.05,1.59 ± 0.05,1.17 ± 0.07,0.97 ± 0.08,1.29 ± 0.07,0.99 ± 0.08
Energy,Categorical,0.79 ± 0.05,0.79 ± 0.05,0.80 ± 0.05,0.84 ± 0.04,0.79 ± 0.05,0.79 ± 0.05
Student,Categorical,0.35 ± 0.06,0.45 ± 0.03,0.37 ± 0.04,0.36 ± 0.06,0.49 ± 0.03,0.37 ± 0.06
