Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.96 ± 0.10,1.35 ± 0.14,0.64 ± 0.10,0.49 ± 0.12,0.92 ± 0.10,0.53 ± 0.11
Composite,Numerical,0.99 ± 0.09,1.37 ± 0.12,1.07 ± 0.09,1.06 ± 0.09,1.39 ± 0.12,1.12 ± 0.10
Steel,Numerical,0.78 ± 0.25,1.05 ± 0.31,0.45 ± 0.26,0.41 ± 0.26,1.00 ± 0.27,0.48 ± 0.24
Energy,Numerical,0.99 ± 0.08,1.38 ± 0.13,0.25 ± 0.07,0.20 ± 0.05,0.35 ± 0.10,0.18 ± 0.04
Student,Numerical,0.96 ± 0.10,1.32 ± 0.14,0.96 ± 0.11,0.93 ± 0.11,1.23 ± 0.12,0.99 ± 0.12
Wine,Numerical,0.98 ± 0.06,1.40 ± 0.07,0.77 ± 0.07,0.67 ± 0.08,1.05 ± 0.08,0.68 ± 0.09
Energy,Categorical,0.80 ± 0.11,0.79 ± 0.10,0.82 ± 0.11,0.85 ± 0.10,0.78 ± 0.12,0.80 ± 0.12
Student,Categorical,0.32 ± 0.05,0.41 ± 0.05,0.33 ± 0.04,0.33 ± 0.04,0.49 ± 0.06,0.33 ± 0.04
