Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.98 ± 0.07,1.39 ± 0.09,0.67 ± 0.06,0.50 ± 0.06,0.92 ± 0.06,0.53 ± 0.07
Composite,Numerical,0.99 ± 0.06,1.40 ± 0.07,1.09 ± 0.06,1.09 ± 0.06,1.41 ± 0.07,1.13 ± 0.06
Steel,Numerical,0.88 ± 0.24,1.32 ± 0.30,0.63 ± 0.24,0.57 ± 0.24,1.15 ± 0.30,0.63 ± 0.22
Energy,Numerical,1.02 ± 0.05,1.43 ± 0.07,0.39 ± 0.06,0.25 ± 0.06,0.44 ± 0.06,0.24 ± 0.07
Student,Numerical,1.00 ± 0.07,1.41 ± 0.09,1.01 ± 0.07,0.99 ± 0.06,1.29 ± 0.07,1.05 ± 0.06
Wine,Numerical,1.00 ± 0.04,1.42 ± 0.05,0.79 ± 0.04,0.67 ± 0.04,1.04 ± 0.04,0.69 ± 0.04
Energy,Categorical,0.79 ± 0.06,0.79 ± 0.06,0.79 ± 0.06,0.85 ± 0.05,0.80 ± 0.05,0.80 ± 0.07
Student,Categorical,0.31 ± 0.03,0.41 ± 0.03,0.34 ± 0.02,0.33 ± 0.03,0.44 ± 0.03,0.33 ± 0.03
