Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.03 ± 0.11,1.45 ± 0.11,0.91 ± 0.14,0.72 ± 0.13,1.10 ± 0.12,0.77 ± 0.14
Composite,Numerical,1.00 ± 0.04,1.41 ± 0.06,1.10 ± 0.05,1.10 ± 0.05,1.40 ± 0.06,1.15 ± 0.05
Steel,Numerical,1.14 ± 0.58,1.54 ± 0.57,0.95 ± 0.57,0.86 ± 0.57,1.40 ± 0.56,0.94 ± 0.57
Energy,Numerical,1.04 ± 0.05,1.43 ± 0.07,0.46 ± 0.09,0.34 ± 0.10,0.55 ± 0.09,0.31 ± 0.11
Student,Numerical,1.01 ± 0.07,1.42 ± 0.08,1.05 ± 0.07,1.02 ± 0.07,1.31 ± 0.06,1.09 ± 0.07
Wine,Numerical,1.02 ± 0.04,1.43 ± 0.04,0.99 ± 0.05,0.79 ± 0.06,1.13 ± 0.06,0.82 ± 0.06
Energy,Categorical,0.79 ± 0.06,0.79 ± 0.05,0.79 ± 0.06,0.85 ± 0.05,0.79 ± 0.05,0.80 ± 0.05
Student,Categorical,0.32 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.47 ± 0.03,0.33 ± 0.02
