Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.07 ± 0.09,1.46 ± 0.11,0.86 ± 0.11,0.60 ± 0.09,1.03 ± 0.09,0.65 ± 0.10
Composite,Numerical,1.01 ± 0.06,1.42 ± 0.09,1.10 ± 0.06,1.08 ± 0.06,1.41 ± 0.10,1.14 ± 0.06
Steel,Numerical,1.19 ± 0.30,1.54 ± 0.39,0.84 ± 0.32,0.74 ± 0.31,1.33 ± 0.30,0.81 ± 0.30
Energy,Numerical,1.06 ± 0.06,1.45 ± 0.11,0.35 ± 0.09,0.22 ± 0.06,0.43 ± 0.09,0.20 ± 0.06
Student,Numerical,1.18 ± 0.09,1.56 ± 0.12,1.16 ± 0.10,1.13 ± 0.10,1.42 ± 0.09,1.19 ± 0.09
Wine,Numerical,1.16 ± 0.06,1.54 ± 0.06,1.01 ± 0.08,0.84 ± 0.09,1.20 ± 0.08,0.85 ± 0.09
Energy,Categorical,0.80 ± 0.07,0.78 ± 0.08,0.79 ± 0.07,0.84 ± 0.06,0.78 ± 0.07,0.79 ± 0.08
Student,Categorical,0.35 ± 0.06,0.44 ± 0.04,0.36 ± 0.04,0.36 ± 0.06,0.49 ± 0.04,0.36 ± 0.06
