Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.97 ± 0.08,1.39 ± 0.11,0.74 ± 0.10,0.57 ± 0.09,0.99 ± 0.09,0.62 ± 0.11
Composite,Numerical,1.01 ± 0.06,1.40 ± 0.09,1.10 ± 0.07,1.08 ± 0.06,1.42 ± 0.09,1.14 ± 0.06
Steel,Numerical,0.82 ± 0.17,1.22 ± 0.29,0.53 ± 0.18,0.49 ± 0.18,1.07 ± 0.18,0.57 ± 0.18
Energy,Numerical,0.99 ± 0.05,1.41 ± 0.10,0.33 ± 0.07,0.23 ± 0.07,0.43 ± 0.09,0.21 ± 0.07
Student,Numerical,0.99 ± 0.08,1.38 ± 0.11,1.00 ± 0.08,0.97 ± 0.08,1.28 ± 0.09,1.04 ± 0.08
Wine,Numerical,0.99 ± 0.05,1.40 ± 0.05,0.86 ± 0.06,0.71 ± 0.07,1.09 ± 0.07,0.73 ± 0.08
Energy,Categorical,0.81 ± 0.08,0.79 ± 0.07,0.81 ± 0.07,0.85 ± 0.07,0.78 ± 0.09,0.81 ± 0.08
Student,Categorical,0.32 ± 0.03,0.42 ± 0.03,0.33 ± 0.03,0.33 ± 0.03,0.48 ± 0.04,0.33 ± 0.03
