Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.98 ± 0.08,1.38 ± 0.11,0.60 ± 0.07,0.44 ± 0.08,0.84 ± 0.07,0.46 ± 0.09
Composite,Numerical,0.99 ± 0.07,1.40 ± 0.07,1.08 ± 0.07,1.07 ± 0.07,1.40 ± 0.09,1.13 ± 0.07
Steel,Numerical,0.83 ± 0.23,1.21 ± 0.32,0.54 ± 0.24,0.50 ± 0.24,1.07 ± 0.22,0.56 ± 0.22
Energy,Numerical,1.00 ± 0.05,1.41 ± 0.08,0.30 ± 0.06,0.22 ± 0.05,0.40 ± 0.08,0.21 ± 0.06
Student,Numerical,0.99 ± 0.08,1.38 ± 0.10,0.99 ± 0.08,0.97 ± 0.08,1.27 ± 0.09,1.03 ± 0.08
Wine,Numerical,1.00 ± 0.05,1.41 ± 0.06,0.74 ± 0.05,0.63 ± 0.05,1.01 ± 0.05,0.64 ± 0.05
Energy,Categorical,0.80 ± 0.07,0.78 ± 0.08,0.78 ± 0.09,0.84 ± 0.06,0.79 ± 0.07,0.80 ± 0.08
Student,Categorical,0.31 ± 0.03,0.41 ± 0.03,0.33 ± 0.03,0.32 ± 0.03,0.44 ± 0.04,0.33 ± 0.03
