Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.11 ± 0.06,1.50 ± 0.08,0.96 ± 0.11,0.68 ± 0.08,1.07 ± 0.08,0.71 ± 0.08
Composite,Numerical,1.02 ± 0.05,1.43 ± 0.08,1.11 ± 0.05,1.10 ± 0.05,1.42 ± 0.07,1.16 ± 0.06
Steel,Numerical,1.39 ± 0.28,1.75 ± 0.34,1.09 ± 0.29,0.97 ± 0.29,1.50 ± 0.27,1.02 ± 0.30
Energy,Numerical,1.08 ± 0.05,1.47 ± 0.08,0.43 ± 0.10,0.26 ± 0.08,0.47 ± 0.07,0.24 ± 0.09
Student,Numerical,1.24 ± 0.08,1.60 ± 0.10,1.24 ± 0.09,1.21 ± 0.09,1.48 ± 0.08,1.27 ± 0.08
Wine,Numerical,1.19 ± 0.05,1.56 ± 0.05,1.09 ± 0.07,0.90 ± 0.08,1.24 ± 0.07,0.92 ± 0.08
Energy,Categorical,0.79 ± 0.06,0.79 ± 0.06,0.80 ± 0.06,0.84 ± 0.05,0.79 ± 0.06,0.80 ± 0.06
Student,Categorical,0.35 ± 0.06,0.45 ± 0.03,0.36 ± 0.04,0.36 ± 0.06,0.49 ± 0.03,0.36 ± 0.06
