Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.06,1.41 ± 0.08,0.84 ± 0.06,0.62 ± 0.06,1.03 ± 0.06,0.66 ± 0.06
Composite,Numerical,1.00 ± 0.04,1.41 ± 0.05,1.10 ± 0.04,1.12 ± 0.04,1.40 ± 0.05,1.17 ± 0.05
Steel,Numerical,0.94 ± 0.23,1.38 ± 0.33,0.77 ± 0.23,0.67 ± 0.23,1.27 ± 0.31,0.74 ± 0.22
Energy,Numerical,1.04 ± 0.05,1.45 ± 0.07,0.55 ± 0.05,0.35 ± 0.09,0.54 ± 0.07,0.33 ± 0.09
Student,Numerical,1.01 ± 0.06,1.42 ± 0.06,1.04 ± 0.05,1.02 ± 0.05,1.31 ± 0.05,1.09 ± 0.05
Wine,Numerical,1.01 ± 0.04,1.43 ± 0.04,0.90 ± 0.04,0.76 ± 0.04,1.09 ± 0.04,0.78 ± 0.04
Energy,Categorical,0.80 ± 0.05,0.79 ± 0.05,0.79 ± 0.05,0.85 ± 0.05,0.79 ± 0.05,0.79 ± 0.05
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.44 ± 0.02,0.34 ± 0.02
