Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.04 ± 0.11,1.43 ± 0.13,0.70 ± 0.13,0.51 ± 0.14,0.94 ± 0.11,0.54 ± 0.14
Composite,Numerical,1.00 ± 0.08,1.37 ± 0.12,1.08 ± 0.09,1.06 ± 0.09,1.39 ± 0.11,1.11 ± 0.09
Steel,Numerical,1.05 ± 0.33,1.35 ± 0.44,0.67 ± 0.31,0.57 ± 0.28,1.17 ± 0.30,0.64 ± 0.28
Energy,Numerical,1.02 ± 0.07,1.40 ± 0.14,0.26 ± 0.09,0.19 ± 0.05,0.34 ± 0.10,0.18 ± 0.04
Student,Numerical,1.10 ± 0.13,1.46 ± 0.17,1.08 ± 0.13,1.05 ± 0.13,1.34 ± 0.13,1.09 ± 0.14
Wine,Numerical,1.13 ± 0.07,1.50 ± 0.07,0.89 ± 0.08,0.76 ± 0.09,1.13 ± 0.08,0.77 ± 0.10
Energy,Categorical,0.81 ± 0.10,0.80 ± 0.11,0.81 ± 0.10,0.84 ± 0.10,0.80 ± 0.12,0.81 ± 0.10
Student,Categorical,0.36 ± 0.06,0.43 ± 0.05,0.37 ± 0.05,0.36 ± 0.06,0.49 ± 0.06,0.37 ± 0.06
