Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.05 ± 0.13,1.46 ± 0.12,0.95 ± 0.15,0.78 ± 0.16,1.17 ± 0.14,0.83 ± 0.15
Composite,Numerical,1.00 ± 0.04,1.42 ± 0.05,1.11 ± 0.04,1.12 ± 0.04,1.41 ± 0.05,1.17 ± 0.04
Steel,Numerical,1.18 ± 0.50,1.60 ± 0.53,1.04 ± 0.49,0.93 ± 0.50,1.47 ± 0.52,1.02 ± 0.50
Energy,Numerical,1.05 ± 0.06,1.45 ± 0.07,0.51 ± 0.10,0.40 ± 0.11,0.60 ± 0.09,0.38 ± 0.12
Student,Numerical,1.02 ± 0.06,1.43 ± 0.07,1.06 ± 0.06,1.05 ± 0.06,1.32 ± 0.06,1.12 ± 0.06
Wine,Numerical,1.02 ± 0.04,1.43 ± 0.04,1.01 ± 0.05,0.83 ± 0.06,1.15 ± 0.05,0.86 ± 0.05
Energy,Categorical,0.80 ± 0.05,0.79 ± 0.04,0.79 ± 0.05,0.84 ± 0.05,0.79 ± 0.05,0.79 ± 0.05
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.47 ± 0.02,0.34 ± 0.02
