Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.05,1.40 ± 0.07,0.88 ± 0.07,0.80 ± 0.06,1.14 ± 0.06,0.85 ± 0.07
Composite,Numerical,1.00 ± 0.04,1.40 ± 0.05,1.09 ± 0.04,1.13 ± 0.05,1.42 ± 0.04,1.18 ± 0.05
Steel,Numerical,0.98 ± 0.23,1.45 ± 0.32,0.85 ± 0.22,0.77 ± 0.24,1.27 ± 0.22,0.86 ± 0.22
Energy,Numerical,1.00 ± 0.03,1.41 ± 0.06,0.54 ± 0.09,0.46 ± 0.11,0.64 ± 0.08,0.45 ± 0.12
Student,Numerical,1.00 ± 0.05,1.41 ± 0.06,1.05 ± 0.05,1.05 ± 0.06,1.33 ± 0.06,1.13 ± 0.07
Wine,Numerical,1.00 ± 0.03,1.41 ± 0.04,0.99 ± 0.05,0.86 ± 0.05,1.16 ± 0.05,0.89 ± 0.05
Energy,Categorical,0.80 ± 0.04,0.78 ± 0.05,0.79 ± 0.04,0.85 ± 0.04,0.79 ± 0.05,0.79 ± 0.04
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.48 ± 0.02,0.34 ± 0.02
