Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.97 ± 0.10,1.35 ± 0.13,0.50 ± 0.07,0.35 ± 0.09,0.74 ± 0.10,0.37 ± 0.09
Composite,Numerical,0.98 ± 0.09,1.37 ± 0.12,1.06 ± 0.09,1.06 ± 0.09,1.39 ± 0.11,1.12 ± 0.10
Steel,Numerical,0.76 ± 0.19,1.04 ± 0.27,0.42 ± 0.19,0.37 ± 0.17,0.94 ± 0.17,0.43 ± 0.18
Energy,Numerical,0.99 ± 0.08,1.37 ± 0.12,0.23 ± 0.07,0.20 ± 0.05,0.35 ± 0.10,0.18 ± 0.04
Student,Numerical,0.95 ± 0.09,1.34 ± 0.13,0.94 ± 0.10,0.92 ± 0.10,1.20 ± 0.12,0.97 ± 0.11
Wine,Numerical,0.98 ± 0.06,1.39 ± 0.07,0.69 ± 0.06,0.58 ± 0.06,0.96 ± 0.06,0.58 ± 0.06
Energy,Categorical,0.81 ± 0.11,0.78 ± 0.11,0.81 ± 0.12,0.83 ± 0.10,0.81 ± 0.11,0.81 ± 0.11
Student,Categorical,0.31 ± 0.04,0.42 ± 0.05,0.33 ± 0.04,0.32 ± 0.04,0.44 ± 0.05,0.33 ± 0.04
