Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.05 ± 0.13,1.46 ± 0.13,0.97 ± 0.14,0.83 ± 0.15,1.20 ± 0.14,0.87 ± 0.15
Composite,Numerical,1.01 ± 0.04,1.42 ± 0.06,1.10 ± 0.04,1.13 ± 0.04,1.42 ± 0.05,1.18 ± 0.04
Steel,Numerical,1.24 ± 0.59,1.67 ± 0.61,1.13 ± 0.59,1.02 ± 0.59,1.54 ± 0.58,1.10 ± 0.58
Energy,Numerical,1.07 ± 0.07,1.47 ± 0.07,0.56 ± 0.11,0.46 ± 0.11,0.67 ± 0.09,0.43 ± 0.11
Student,Numerical,1.03 ± 0.07,1.43 ± 0.08,1.08 ± 0.07,1.07 ± 0.06,1.34 ± 0.06,1.14 ± 0.06
Wine,Numerical,1.02 ± 0.04,1.43 ± 0.04,1.03 ± 0.04,0.87 ± 0.05,1.18 ± 0.05,0.90 ± 0.05
Energy,Categorical,0.80 ± 0.04,0.79 ± 0.04,0.79 ± 0.04,0.85 ± 0.04,0.79 ± 0.05,0.80 ± 0.04
Student,Categorical,0.32 ± 0.02,0.42 ± 0.02,0.35 ± 0.02,0.33 ± 0.02,0.47 ± 0.02,0.34 ± 0.02
