Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.00 ± 0.06,1.42 ± 0.07,0.91 ± 0.06,0.69 ± 0.06,1.08 ± 0.06,0.72 ± 0.06
Composite,Numerical,1.00 ± 0.04,1.42 ± 0.05,1.11 ± 0.04,1.14 ± 0.04,1.41 ± 0.04,1.18 ± 0.04
Steel,Numerical,0.98 ± 0.24,1.43 ± 0.34,0.85 ± 0.23,0.74 ± 0.23,1.33 ± 0.28,0.81 ± 0.22
Energy,Numerical,1.06 ± 0.06,1.46 ± 0.07,0.63 ± 0.06,0.38 ± 0.08,0.60 ± 0.07,0.38 ± 0.08
Student,Numerical,1.01 ± 0.06,1.43 ± 0.06,1.06 ± 0.05,1.04 ± 0.05,1.33 ± 0.06,1.12 ± 0.06
Wine,Numerical,1.01 ± 0.04,1.42 ± 0.04,0.96 ± 0.04,0.81 ± 0.04,1.12 ± 0.03,0.83 ± 0.04
Energy,Categorical,0.80 ± 0.04,0.79 ± 0.05,0.79 ± 0.05,0.85 ± 0.05,0.80 ± 0.04,0.79 ± 0.04
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.44 ± 0.02,0.34 ± 0.02
