Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.98 ± 0.06,1.40 ± 0.09,0.80 ± 0.08,0.64 ± 0.07,1.03 ± 0.08,0.69 ± 0.08
Composite,Numerical,1.00 ± 0.05,1.41 ± 0.07,1.09 ± 0.05,1.09 ± 0.05,1.42 ± 0.07,1.14 ± 0.06
Steel,Numerical,0.87 ± 0.16,1.27 ± 0.23,0.61 ± 0.17,0.56 ± 0.17,1.10 ± 0.18,0.65 ± 0.17
Energy,Numerical,1.00 ± 0.04,1.41 ± 0.07,0.41 ± 0.10,0.28 ± 0.09,0.48 ± 0.08,0.27 ± 0.12
Student,Numerical,1.00 ± 0.07,1.40 ± 0.08,1.02 ± 0.08,1.00 ± 0.07,1.29 ± 0.08,1.07 ± 0.08
Wine,Numerical,0.99 ± 0.04,1.41 ± 0.05,0.92 ± 0.06,0.75 ± 0.06,1.11 ± 0.06,0.77 ± 0.07
Energy,Categorical,0.80 ± 0.06,0.79 ± 0.06,0.81 ± 0.06,0.85 ± 0.05,0.78 ± 0.06,0.80 ± 0.06
Student,Categorical,0.31 ± 0.02,0.41 ± 0.03,0.33 ± 0.02,0.33 ± 0.02,0.48 ± 0.03,0.33 ± 0.03
