Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.36 ± 0.08,1.69 ± 0.10,0.96 ± 0.08,0.69 ± 0.08,1.11 ± 0.09,0.72 ± 0.09
Composite,Numerical,1.06 ± 0.05,1.45 ± 0.07,1.14 ± 0.05,1.15 ± 0.05,1.45 ± 0.07,1.20 ± 0.05
Steel,Numerical,3.04 ± 1.10,3.28 ± 1.10,2.53 ± 1.11,2.41 ± 1.13,2.92 ± 1.14,2.41 ± 1.11
Energy,Numerical,1.09 ± 0.05,1.47 ± 0.07,0.38 ± 0.06,0.25 ± 0.05,0.44 ± 0.06,0.23 ± 0.07
Student,Numerical,1.39 ± 0.10,1.73 ± 0.10,1.37 ± 0.10,1.33 ± 0.10,1.58 ± 0.10,1.38 ± 0.09
Wine,Numerical,1.28 ± 0.06,1.63 ± 0.05,1.01 ± 0.07,0.88 ± 0.07,1.22 ± 0.06,0.89 ± 0.07
Energy,Categorical,0.80 ± 0.11,0.81 ± 0.06,0.82 ± 0.08,0.83 ± 0.10,0.80 ± 0.08,0.81 ± 0.11
Student,Categorical,0.40 ± 0.06,0.49 ± 0.04,0.40 ± 0.05,0.41 ± 0.06,0.48 ± 0.04,0.41 ± 0.06
