Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.58 ± 0.09,1.90 ± 0.10,1.38 ± 0.10,1.01 ± 0.09,1.42 ± 0.10,1.04 ± 0.09
Composite,Numerical,1.08 ± 0.04,1.47 ± 0.06,1.16 ± 0.05,1.19 ± 0.05,1.46 ± 0.05,1.24 ± 0.05
Steel,Numerical,3.77 ± 1.69,3.97 ± 1.68,3.37 ± 1.69,3.21 ± 1.69,3.64 ± 1.69,3.20 ± 1.69
Energy,Numerical,1.18 ± 0.04,1.55 ± 0.07,0.61 ± 0.05,0.32 ± 0.07,0.53 ± 0.06,0.33 ± 0.09
Student,Numerical,1.69 ± 0.11,2.01 ± 0.11,1.69 ± 0.10,1.65 ± 0.10,1.90 ± 0.10,1.69 ± 0.10
Wine,Numerical,1.37 ± 0.05,1.71 ± 0.05,1.21 ± 0.06,1.04 ± 0.07,1.34 ± 0.06,1.06 ± 0.07
Energy,Categorical,0.79 ± 0.11,0.82 ± 0.04,0.83 ± 0.07,0.84 ± 0.10,0.78 ± 0.08,0.79 ± 0.10
Student,Categorical,0.40 ± 0.08,0.51 ± 0.04,0.40 ± 0.06,0.41 ± 0.08,0.46 ± 0.04,0.42 ± 0.07
