Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.19 ± 0.13,1.54 ± 0.15,0.64 ± 0.10,0.44 ± 0.10,0.85 ± 0.12,0.44 ± 0.10
Composite,Numerical,1.01 ± 0.10,1.40 ± 0.12,1.08 ± 0.10,1.08 ± 0.09,1.40 ± 0.13,1.14 ± 0.10
Steel,Numerical,1.57 ± 0.63,1.81 ± 0.65,1.02 ± 0.64,0.90 ± 0.62,1.52 ± 0.60,0.94 ± 0.62
Energy,Numerical,1.04 ± 0.09,1.41 ± 0.14,0.22 ± 0.05,0.20 ± 0.04,0.35 ± 0.08,0.18 ± 0.03
Student,Numerical,1.20 ± 0.13,1.56 ± 0.16,1.18 ± 0.13,1.11 ± 0.12,1.39 ± 0.13,1.16 ± 0.12
Wine,Numerical,1.20 ± 0.09,1.56 ± 0.08,0.85 ± 0.10,0.72 ± 0.10,1.08 ± 0.09,0.72 ± 0.10
Energy,Categorical,0.80 ± 0.14,0.78 ± 0.11,0.81 ± 0.13,0.83 ± 0.13,0.78 ± 0.13,0.81 ± 0.15
Student,Categorical,0.39 ± 0.09,0.48 ± 0.06,0.39 ± 0.07,0.40 ± 0.09,0.48 ± 0.06,0.41 ± 0.09
