Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.06,1.41 ± 0.07,0.72 ± 0.05,0.57 ± 0.06,0.96 ± 0.06,0.60 ± 0.07
Composite,Numerical,1.00 ± 0.04,1.40 ± 0.06,1.09 ± 0.05,1.10 ± 0.05,1.40 ± 0.05,1.15 ± 0.05
Steel,Numerical,0.90 ± 0.18,1.35 ± 0.31,0.64 ± 0.17,0.60 ± 0.18,1.17 ± 0.17,0.67 ± 0.17
Energy,Numerical,1.00 ± 0.04,1.41 ± 0.07,0.44 ± 0.05,0.30 ± 0.07,0.48 ± 0.06,0.29 ± 0.09
Student,Numerical,1.00 ± 0.05,1.41 ± 0.07,1.02 ± 0.06,1.01 ± 0.06,1.29 ± 0.06,1.08 ± 0.07
Wine,Numerical,1.00 ± 0.03,1.41 ± 0.04,0.82 ± 0.04,0.71 ± 0.04,1.06 ± 0.04,0.73 ± 0.04
Energy,Categorical,0.80 ± 0.06,0.80 ± 0.05,0.79 ± 0.06,0.84 ± 0.05,0.79 ± 0.06,0.80 ± 0.05
Student,Categorical,0.32 ± 0.02,0.41 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.44 ± 0.02,0.34 ± 0.02
