Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.07,1.39 ± 0.09,0.66 ± 0.06,0.50 ± 0.07,0.92 ± 0.06,0.53 ± 0.06
Composite,Numerical,1.00 ± 0.05,1.41 ± 0.07,1.09 ± 0.05,1.09 ± 0.05,1.42 ± 0.07,1.14 ± 0.05
Steel,Numerical,0.88 ± 0.18,1.28 ± 0.25,0.58 ± 0.18,0.54 ± 0.19,1.10 ± 0.18,0.59 ± 0.18
Energy,Numerical,1.00 ± 0.04,1.41 ± 0.08,0.37 ± 0.05,0.26 ± 0.06,0.44 ± 0.07,0.23 ± 0.07
Student,Numerical,0.99 ± 0.06,1.39 ± 0.08,1.01 ± 0.07,0.99 ± 0.07,1.28 ± 0.07,1.05 ± 0.07
Wine,Numerical,0.99 ± 0.04,1.41 ± 0.05,0.77 ± 0.04,0.66 ± 0.04,1.03 ± 0.04,0.68 ± 0.05
Energy,Categorical,0.80 ± 0.06,0.79 ± 0.06,0.79 ± 0.06,0.84 ± 0.05,0.80 ± 0.06,0.80 ± 0.06
Student,Categorical,0.32 ± 0.02,0.42 ± 0.03,0.34 ± 0.03,0.33 ± 0.02,0.44 ± 0.03,0.33 ± 0.03
