Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.05,1.40 ± 0.08,0.86 ± 0.07,0.74 ± 0.07,1.10 ± 0.06,0.79 ± 0.07
Composite,Numerical,1.00 ± 0.04,1.41 ± 0.06,1.09 ± 0.04,1.11 ± 0.04,1.41 ± 0.05,1.16 ± 0.05
Steel,Numerical,0.93 ± 0.20,1.37 ± 0.27,0.77 ± 0.19,0.70 ± 0.20,1.20 ± 0.19,0.79 ± 0.19
Energy,Numerical,1.00 ± 0.03,1.42 ± 0.07,0.49 ± 0.09,0.39 ± 0.11,0.58 ± 0.08,0.39 ± 0.12
Student,Numerical,1.00 ± 0.05,1.40 ± 0.07,1.04 ± 0.06,1.04 ± 0.06,1.30 ± 0.05,1.11 ± 0.06
Wine,Numerical,1.00 ± 0.03,1.41 ± 0.04,0.98 ± 0.05,0.82 ± 0.05,1.15 ± 0.05,0.85 ± 0.06
Energy,Categorical,0.80 ± 0.05,0.80 ± 0.04,0.79 ± 0.04,0.85 ± 0.04,0.79 ± 0.05,0.79 ± 0.05
Student,Categorical,0.31 ± 0.02,0.42 ± 0.02,0.34 ± 0.02,0.33 ± 0.02,0.48 ± 0.02,0.33 ± 0.02
