Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.24 ± 0.07,1.61 ± 0.07,1.16 ± 0.09,0.90 ± 0.08,1.27 ± 0.07,0.93 ± 0.08
Composite,Numerical,1.04 ± 0.04,1.44 ± 0.06,1.13 ± 0.04,1.16 ± 0.04,1.44 ± 0.04,1.21 ± 0.04
Steel,Numerical,1.80 ± 0.32,2.16 ± 0.38,1.66 ± 0.33,1.52 ± 0.35,1.96 ± 0.33,1.55 ± 0.34
Energy,Numerical,1.18 ± 0.04,1.54 ± 0.06,0.61 ± 0.13,0.42 ± 0.11,0.61 ± 0.08,0.42 ± 0.12
Student,Numerical,1.46 ± 0.10,1.81 ± 0.11,1.50 ± 0.10,1.48 ± 0.10,1.73 ± 0.11,1.54 ± 0.10
Wine,Numerical,1.29 ± 0.04,1.65 ± 0.04,1.26 ± 0.05,1.10 ± 0.06,1.38 ± 0.05,1.12 ± 0.06
Energy,Categorical,0.79 ± 0.04,0.79 ± 0.04,0.79 ± 0.04,0.84 ± 0.04,0.79 ± 0.04,0.79 ± 0.04
Student,Categorical,0.36 ± 0.05,0.47 ± 0.03,0.38 ± 0.04,0.36 ± 0.05,0.48 ± 0.03,0.37 ± 0.05
