Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.66 ± 0.09,1.97 ± 0.09,1.55 ± 0.09,1.13 ± 0.09,1.59 ± 0.09,1.16 ± 0.09
Composite,Numerical,1.10 ± 0.04,1.49 ± 0.05,1.18 ± 0.04,1.23 ± 0.05,1.50 ± 0.05,1.27 ± 0.04
Steel,Numerical,4.05 ± 1.66,4.24 ± 1.68,3.72 ± 1.66,3.56 ± 1.66,3.93 ± 1.66,3.54 ± 1.66
Energy,Numerical,1.24 ± 0.04,1.60 ± 0.06,0.73 ± 0.06,0.36 ± 0.07,0.56 ± 0.06,0.37 ± 0.09
Student,Numerical,1.81 ± 0.11,2.12 ± 0.11,1.81 ± 0.11,1.78 ± 0.11,2.02 ± 0.11,1.81 ± 0.11
Wine,Numerical,1.42 ± 0.06,1.75 ± 0.05,1.30 ± 0.06,1.12 ± 0.06,1.40 ± 0.06,1.14 ± 0.06
Energy,Categorical,0.79 ± 0.11,0.82 ± 0.05,0.82 ± 0.06,0.84 ± 0.10,0.79 ± 0.08,0.79 ± 0.10
Student,Categorical,0.40 ± 0.07,0.52 ± 0.04,0.40 ± 0.05,0.41 ± 0.07,0.46 ± 0.04,0.41 ± 0.07
