Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.47 ± 0.09,1.80 ± 0.11,1.17 ± 0.10,0.86 ± 0.10,1.26 ± 0.10,0.88 ± 0.10
Composite,Numerical,1.06 ± 0.05,1.45 ± 0.06,1.14 ± 0.05,1.16 ± 0.05,1.45 ± 0.06,1.21 ± 0.05
Steel,Numerical,3.39 ± 1.21,3.59 ± 1.20,2.93 ± 1.22,2.79 ± 1.23,3.27 ± 1.22,2.78 ± 1.23
Energy,Numerical,1.14 ± 0.05,1.51 ± 0.06,0.50 ± 0.05,0.29 ± 0.07,0.48 ± 0.07,0.28 ± 0.09
Student,Numerical,1.55 ± 0.10,1.89 ± 0.11,1.54 ± 0.10,1.50 ± 0.10,1.77 ± 0.10,1.54 ± 0.10
Wine,Numerical,1.33 ± 0.05,1.68 ± 0.05,1.11 ± 0.07,0.96 ± 0.07,1.28 ± 0.06,0.98 ± 0.07
Energy,Categorical,0.80 ± 0.11,0.81 ± 0.05,0.83 ± 0.07,0.84 ± 0.10,0.80 ± 0.08,0.80 ± 0.11
Student,Categorical,0.39 ± 0.08,0.50 ± 0.04,0.40 ± 0.06,0.41 ± 0.08,0.47 ± 0.05,0.41 ± 0.08
