Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.99 ± 0.05,1.40 ± 0.07,0.85 ± 0.08,0.69 ± 0.07,1.06 ± 0.06,0.75 ± 0.07
Composite,Numerical,1.00 ± 0.04,1.41 ± 0.06,1.09 ± 0.04,1.10 ± 0.04,1.40 ± 0.06,1.15 ± 0.05
Steel,Numerical,0.92 ± 0.19,1.32 ± 0.28,0.71 ± 0.20,0.66 ± 0.21,1.19 ± 0.18,0.73 ± 0.19
Energy,Numerical,1.00 ± 0.04,1.41 ± 0.07,0.45 ± 0.09,0.34 ± 0.10,0.53 ± 0.08,0.31 ± 0.12
Student,Numerical,1.00 ± 0.06,1.42 ± 0.08,1.03 ± 0.06,1.01 ± 0.07,1.30 ± 0.06,1.09 ± 0.07
Wine,Numerical,0.99 ± 0.04,1.41 ± 0.04,0.95 ± 0.05,0.78 ± 0.06,1.12 ± 0.05,0.81 ± 0.06
Energy,Categorical,0.79 ± 0.05,0.79 ± 0.06,0.80 ± 0.05,0.85 ± 0.04,0.79 ± 0.06,0.79 ± 0.05
Student,Categorical,0.31 ± 0.02,0.41 ± 0.02,0.34 ± 0.02,0.32 ± 0.02,0.48 ± 0.02,0.33 ± 0.02
