Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.02 ± 0.11,1.43 ± 0.10,0.85 ± 0.12,0.65 ± 0.11,1.06 ± 0.11,0.70 ± 0.12
Composite,Numerical,0.99 ± 0.05,1.42 ± 0.07,1.09 ± 0.05,1.08 ± 0.06,1.39 ± 0.07,1.14 ± 0.06
Steel,Numerical,1.03 ± 0.47,1.43 ± 0.50,0.81 ± 0.47,0.74 ± 0.47,1.26 ± 0.45,0.79 ± 0.47
Energy,Numerical,1.01 ± 0.05,1.42 ± 0.08,0.38 ± 0.08,0.27 ± 0.09,0.48 ± 0.08,0.24 ± 0.09
Student,Numerical,0.98 ± 0.07,1.39 ± 0.08,1.01 ± 0.08,0.98 ± 0.08,1.29 ± 0.08,1.05 ± 0.07
Wine,Numerical,1.01 ± 0.04,1.42 ± 0.05,0.95 ± 0.06,0.76 ± 0.07,1.11 ± 0.06,0.78 ± 0.07
Energy,Categorical,0.79 ± 0.06,0.78 ± 0.07,0.79 ± 0.07,0.85 ± 0.06,0.80 ± 0.06,0.80 ± 0.06
Student,Categorical,0.32 ± 0.02,0.41 ± 0.03,0.34 ± 0.03,0.33 ± 0.02,0.48 ± 0.03,0.33 ± 0.03
