Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,0.96 ± 0.10,1.36 ± 0.14,0.63 ± 0.11,0.50 ± 0.12,0.95 ± 0.13,0.54 ± 0.14
Composite,Numerical,0.99 ± 0.09,1.39 ± 0.12,1.07 ± 0.11,1.05 ± 0.10,1.38 ± 0.13,1.12 ± 0.10
Steel,Numerical,0.85 ± 0.33,1.12 ± 0.35,0.51 ± 0.31,0.46 ± 0.29,1.01 ± 0.29,0.53 ± 0.28
Energy,Numerical,1.00 ± 0.08,1.40 ± 0.12,0.25 ± 0.08,0.20 ± 0.07,0.37 ± 0.10,0.19 ± 0.07
Student,Numerical,0.97 ± 0.11,1.36 ± 0.14,0.97 ± 0.12,0.93 ± 0.11,1.23 ± 0.12,1.00 ± 0.12
Wine,Numerical,1.01 ± 0.07,1.41 ± 0.08,0.79 ± 0.07,0.67 ± 0.08,1.06 ± 0.08,0.69 ± 0.09
Energy,Categorical,0.80 ± 0.13,0.78 ± 0.11,0.79 ± 0.11,0.86 ± 0.11,0.79 ± 0.11,0.80 ± 0.14
Student,Categorical,0.31 ± 0.05,0.41 ± 0.04,0.33 ± 0.05,0.33 ± 0.04,0.48 ± 0.05,0.33 ± 0.04
