Dataset,Data type,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Numerical,1.19 ± 0.06,1.56 ± 0.07,1.09 ± 0.09,0.81 ± 0.08,1.19 ± 0.07,0.86 ± 0.08
Composite,Numerical,1.03 ± 0.04,1.44 ± 0.05,1.12 ± 0.04,1.14 ± 0.04,1.44 ± 0.04,1.19 ± 0.04
Steel,Numerical,1.68 ± 0.32,2.08 ± 0.41,1.49 ± 0.33,1.36 ± 0.34,1.81 ± 0.30,1.39 ± 0.32
Energy,Numerical,1.14 ± 0.04,1.52 ± 0.07,0.55 ± 0.12,0.37 ± 0.10,0.57 ± 0.07,0.36 ± 0.12
Student,Numerical,1.41 ± 0.09,1.76 ± 0.11,1.44 ± 0.10,1.41 ± 0.10,1.67 ± 0.10,1.47 ± 0.09
Wine,Numerical,1.26 ± 0.05,1.62 ± 0.05,1.22 ± 0.06,1.04 ± 0.08,1.34 ± 0.06,1.06 ± 0.08
Energy,Categorical,0.79 ± 0.04,0.79 ± 0.05,0.79 ± 0.05,0.85 ± 0.04,0.78 ± 0.05,0.79 ± 0.04
Student,Categorical,0.35 ± 0.05,0.46 ± 0.03,0.37 ± 0.04,0.36 ± 0.05,0.48 ± 0.03,0.37 ± 0.05
