iter	RMSE
0	0.4312530855
1	0.3769574092
2	0.335737655
3	0.3020332433
4	0.264024621
5	0.2353046058
6	0.2123008313
7	0.1897001816
8	0.1678635742
9	0.1470030522
10	0.1309159437
11	0.1145162849
12	0.1019584776
13	0.09299488238
14	0.08346582939
15	0.07385187438
16	0.06555841457
17	0.05966589762
18	0.05327737956
19	0.04855679685
20	0.04377139629
21	0.03928726306
22	0.03541279582
23	0.03257824117
24	0.03000182773
25	0.02808367207
26	0.02612590125
27	0.02441380948
28	0.02277016668
29	0.02140095731
30	0.02035680481
31	0.01936500058
32	0.01849174421
33	0.0176822971
34	0.01677476082
35	0.01603590268
36	0.01541646142
37	0.01477625886
38	0.01416462756
39	0.01357991581
40	0.01307790565
41	0.0126636643
42	0.0121470013
43	0.0117605181
44	0.0114107841
45	0.0110560382
46	0.01078430536
47	0.01046041713
48	0.01017266974
49	0.00987515136
50	0.009583612676
51	0.009389634719
52	0.009188771186
53	0.008968311103
54	0.008774094877
55	0.008567438844
56	0.008369077398
57	0.008187679258
58	0.008017006894
59	0.007820135438
60	0.007683357244
61	0.007529871659
62	0.007385241773
63	0.007250583473
64	0.007126751695
65	0.006983224973
66	0.006868814639
67	0.006757635946
68	0.006664074746
69	0.006522626375
70	0.00643810648
71	0.006324528421
72	0.006248019388
73	0.006146404927
74	0.006059702051
75	0.005980674786
76	0.005885793035
77	0.005807192684
78	0.0057144375
79	0.005588575855
80	0.005524244301
81	0.005433447275
82	0.005344870287
83	0.005254813404
84	0.005202624946
85	0.005151704213
86	0.005102237095
87	0.005046231337
88	0.005001036888
89	0.00491770036
90	0.004868661744
91	0.004794941494
92	0.004739297385
93	0.004684876663
94	0.004631786732
95	0.004565957229
96	0.004519401089
97	0.004476748633
98	0.00440127772
99	0.004363770115
100	0.004331692646
101	0.004253498252
102	0.004215420773
103	0.004169952016
104	0.00412415249
105	0.004068674858
106	0.004029987189
107	0.003993701517
108	0.003962053116
109	0.003934310841
110	0.003902988863
111	0.003859930476
112	0.003836292906
113	0.003809012482
114	0.003783330326
115	0.003722825683
116	0.003690726877
117	0.003657263296
118	0.003625664266
119	0.003597582679
120	0.003568858355
121	0.003531450597
122	0.003505577321
123	0.003461514002
124	0.003440480945
125	0.003409837586
126	0.003366257377
127	0.003326308748
128	0.003303673675
129	0.003270969111
130	0.003248391551
131	0.003228034055
132	0.003197957155
133	0.003172270752
134	0.003140952983
135	0.003123622288
136	0.00309062884
137	0.003056673603
138	0.003021320505
139	0.002984402091
140	0.002958083923
141	0.002934115141
142	0.002910135889
143	0.002892565835
144	0.002869386344
145	0.002852738067
146	0.00283174758
147	0.002806713962
148	0.00278540634
149	0.00276720018
150	0.002740924576
151	0.002710747351
152	0.002694842279
153	0.00266753314
154	0.002643046485
155	0.002630236957
156	0.002610819993
157	0.0025911677
158	0.002572666888
159	0.002543053156
160	0.00252108091
161	0.0024888178
162	0.002471532196
163	0.002450134017
164	0.002425824786
165	0.002412066027
166	0.002394295817
167	0.002376943476
168	0.002356648292
169	0.00233448755
170	0.002319393106
171	0.002292015982
172	0.002275638704
173	0.002251290453
174	0.002235374467
175	0.002213185356
176	0.002199641406
177	0.002184585588
178	0.002159360789
179	0.002143083829
180	0.002129961102
181	0.00211764584
182	0.00210107954
183	0.002087709676
184	0.002074022018
185	0.002059053595
186	0.002045449179
187	0.00203049726
188	0.002017787087
189	0.002004975646
190	0.001990399679
191	0.001974619195
192	0.0019639192
193	0.001951919871
194	0.001939749427
195	0.001915752065
196	0.001907196859
197	0.00189203664
198	0.001879492697
199	0.001866804151
